n_legislatura;n_govern;persona;cargo
II Legislatura;Segundo gobierno (PSPV-PSOE) de 19.09.1989 a 29.12.1989;Rafael Blasco Castany;Conseller de Obras Públicas, Urbanismo y Transportes
II Legislatura;Segundo gobierno (PSPV-PSOE) de 19.09.1989 a 29.12.1989;Andrés García Reche;Conseller de Industria, Comercio y Turismo
II Legislatura;Segundo gobierno (PSPV-PSOE) de 19.09.1989 a 29.12.1989;Antoni Escarré Esteve;Conseller de Cultura, Educación y Ciencia
II Legislatura;Segundo gobierno (PSPV-PSOE) de 19.09.1989 a 29.12.1989;Luis Font de Mora Montesinos;Conseller de Agricultura y Pesca
II Legislatura;Primer gobierno (PSPV-PSOE) de 27.07.1987 a 18.09.1989;Joan Lerma i Blasco;Presidente
II Legislatura;Primer gobierno (PSPV-PSOE) de 27.07.1987 a 18.09.1989;Antonio Birlanga Casanova;Conseller de Economía y Hacienda
II Legislatura;Primer gobierno (PSPV-PSOE) de 27.07.1987 a 18.09.1989;Joaquín Colomer Sala;Conseller de Sanidad y Consumo
II Legislatura;Primer gobierno (PSPV-PSOE) de 27.07.1987 a 18.09.1989;Joaquín Azagra Ros;Conseller de Administración Pública
II Legislatura;Primer gobierno (PSPV-PSOE) de 27.07.1987 a 18.09.1989;Miguel Doménech Pastor;Conseller de Trabajo y Seguridad Social
II Legislatura;Primer gobierno (PSPV-PSOE) de 27.07.1987 a 18.09.1989;Rafael Blasco Castany;Conseller de Obras Públicas, Urbanismo y Transportes
II Legislatura;Primer gobierno (PSPV-PSOE) de 27.07.1987 a 18.09.1989;Andrés García Reche;Conseller de Industria, Comercio y Turismo
II Legislatura;Primer gobierno (PSPV-PSOE) de 27.07.1987 a 18.09.1989;Ciprià Císcar i Casaban;Conseller de Cultura, Educación y Ciencia
II Legislatura;Primer gobierno (PSPV-PSOE) de 27.07.1987 a 18.09.1989;Luis Font de Mora Montesinos;Conseller de Agricultura y Pesca
III Legislatura;Segundo gobierno (PSPV-PSOE) de 12.07.1993 a 6.07.1995;Joan Lerma i Blasco;Presidente
III Legislatura;Segundo gobierno (PSPV-PSOE) de 12.07.1993 a 6.07.1995;Aurelio Martínez Estévez;Conseller de Economía y Hacienda
III Legislatura;Segundo gobierno (PSPV-PSOE) de 12.07.1993 a 6.07.1995;Joaquín Colomer Sala;Conseller de Sanidad y Consumo
III Legislatura;Segundo gobierno (PSPV-PSOE) de 12.07.1993 a 6.07.1995;Luis Berenguer Fuster;Conseller de Administración Pública
III Legislatura;Segundo gobierno (PSPV-PSOE) de 12.07.1993 a 6.07.1995;Francisco Javier Sanahuja Sanchís;Conseller de Trabajo y Asuntos Sociales
III Legislatura;Segundo gobierno (PSPV-PSOE) de 12.07.1993 a 6.07.1995;Eugenio Burriel de Orueta;Conseller de Obras Públicas, Urbanismo y Transporte
III Legislatura;Segundo gobierno (PSPV-PSOE) de 12.07.1993 a 6.07.1995;Martín Sevilla Jiménez;Conseller de Industria, Comercio y Turismo
III Legislatura;Segundo gobierno (PSPV-PSOE) de 12.07.1993 a 6.07.1995;Pilar Pedraza Martínez;Consellera de Cultura
III Legislatura;Segundo gobierno (PSPV-PSOE) de 12.07.1993 a 6.07.1995;Josep María Coll Comín;Conseller de Agricultura y Pesca
III Legislatura;Segundo gobierno (PSPV-PSOE) de 12.07.1993 a 6.07.1995;Joan Romero González;Conseller de Educación y Ciencia
III Legislatura;Segundo gobierno (PSPV-PSOE) de 12.07.1993 a 6.07.1995;Emèrit Bono i Martínez;Conseller de Medio Ambiente
III Legislatura;Primer gobierno (PSPV-PSOE) de 16.07.1991 a 11.07.1993;Joan Lerma i Blasco;Presidente
III Legislatura;Primer gobierno (PSPV-PSOE) de 16.07.1991 a 11.07.1993;Antonio Birlanga Casanova;Conseller de Economía y Hacienda
III Legislatura;Primer gobierno (PSPV-PSOE) de 16.07.1991 a 11.07.1993;Martín Sevilla Jiménez;Conseller de Trabajo y Asuntos Sociales
III Legislatura;Primer gobierno (PSPV-PSOE) de 16.07.1991 a 11.07.1993;Emèrit Bono i Martínez;Conseller de Administración Pública
III Legislatura;Primer gobierno (PSPV-PSOE) de 16.07.1991 a 11.07.1993;Andrés García Reche;Conseller de Industria, Comercio y Turismo
III Legislatura;Primer gobierno (PSPV-PSOE) de 16.07.1991 a 11.07.1993;Eugenio Burriel de Orueta;Conseller de Obras Públicas, Urbanismo y Transporte
III Legislatura;Primer gobierno (PSPV-PSOE) de 16.07.1991 a 11.07.1993;Luis Font de Mora Montesinos;Conseller de Agricultura y Pesca
III Legislatura;Primer gobierno (PSPV-PSOE) de 16.07.1991 a 11.07.1993;Andreu López Blasco;Conseller de Cultura, Educación y Ciencia
III Legislatura;Primer gobierno (PSPV-PSOE) de 16.07.1991 a 11.07.1993;Antoni Escarré Esteve;Conseller de Medio Ambiente
III Legislatura;Primer gobierno (PSPV-PSOE) de 16.07.1991 a 11.07.1993;Joaquín Colomer Sala;Conseller de Sanidad y Consumo
IV Legislatura;Sexto gobierno (PP+UV) de 23.01.1999 a 23.07.1999;Eduardo Zaplana Hernández-Soro (PP-CV);Presidente
IV Legislatura;Sexto gobierno (PP+UV) de 23.01.1999 a 23.07.1999;José Joaquín Ripoll Serrano;Conseller de Presidencia
IV Legislatura;Sexto gobierno (PP+UV) de 23.01.1999 a 23.07.1999;Diego Such Pérez;Conseller de Empleo, Industria y Comercio
IV Legislatura;Sexto gobierno (PP+UV) de 23.01.1999 a 23.07.1999;José Luis Olivas Martínez;Conseller de Economía, Hacienda y Administración Pública
IV Legislatura;Sexto gobierno (PP+UV) de 23.01.1999 a 23.07.1999;Salvador Manuel Ortells Rosell;Consellera de Agricultura, Pesca y Alimentación
IV Legislatura;Sexto gobierno (PP+UV) de 23.01.1999 a 23.07.1999;José Ramón García Antón;Conseller de Obras Públicas, Urbanismo y Transportes
IV Legislatura;Sexto gobierno (PP+UV) de 23.01.1999 a 23.07.1999;José Manuel Castellá Almiñana;Conseller de Medio Ambiente
IV Legislatura;Sexto gobierno (PP+UV) de 23.01.1999 a 23.07.1999;Manuel Tarancón Fandos;Conseller de Cultura, Educación y Ciencia
IV Legislatura;Sexto gobierno (PP+UV) de 23.01.1999 a 23.07.1999;Marcela Miró Pérez;Consellera de Bienestar Social
IV Legislatura;Sexto gobierno (PP+UV) de 23.01.1999 a 23.07.1999;Joaquín Farnós Gauchía;Conseller de Sanidad
IV Legislatura;Quinto gobierno (PP+UV) de 15.01.1999 a 22.01.1999;Eduardo Zaplana Hernández-Soro (PP-CV);Presidente
IV Legislatura;Quinto gobierno (PP+UV) de 15.01.1999 a 22.01.1999;José Joaquín Ripoll Serrano;Conseller de Presidencia
IV Legislatura;Quinto gobierno (PP+UV) de 15.01.1999 a 22.01.1999;Diego Such Pérez;Conseller de Empleo, Industria y Comercio
IV Legislatura;Quinto gobierno (PP+UV) de 15.01.1999 a 22.01.1999;José Luis Olivas Martínez;Conseller de Economía, Hacienda y Administración Pública
IV Legislatura;Quinto gobierno (PP+UV) de 15.01.1999 a 22.01.1999;Salvador Manuel Ortells Rosell;Consellera de Agricultura, Pesca y Alimentación
IV Legislatura;Quinto gobierno (PP+UV) de 15.01.1999 a 22.01.1999;José Ramón García Antón;Conseller de Obras Públicas, Urbanismo y Transportes
IV Legislatura;Quinto gobierno (PP+UV) de 15.01.1999 a 22.01.1999;José Manuel Castellá Almiñana;Conseller de Medio Ambiente
IV Legislatura;Quinto gobierno (PP+UV) de 15.01.1999 a 22.01.1999;Francisco Enrique Camps Ortiz;Conseller de Cultura, Educación y Ciencia
IV Legislatura;Quinto gobierno (PP+UV) de 15.01.1999 a 22.01.1999;Marcela Miró Pérez;Consellera de Bienestar Social
IV Legislatura;Quinto gobierno (PP+UV) de 15.01.1999 a 22.01.1999;Joaquín Farnós Gauchía;Conseller de Sanidad
IV Legislatura;Cuarto gobierno (PP+UV) de 16.03.1998 a 14.01.1999;Eduardo Zaplana Hernández-Soro (PP-CV);Presidente
IV Legislatura;Cuarto gobierno (PP+UV) de 16.03.1998 a 14.01.1999;José Joaquín Ripoll Serrano;Conseller de Presidencia
IV Legislatura;Cuarto gobierno (PP+UV) de 16.03.1998 a 14.01.1999;Diego Such Pérez;Conseller de Empleo, Industria y Comercio
IV Legislatura;Cuarto gobierno (PP+UV) de 16.03.1998 a 14.01.1999;José Luis Olivas Martínez;Conseller de Economía, Hacienda y Administración Pública
IV Legislatura;Cuarto gobierno (PP+UV) de 16.03.1998 a 14.01.1999;Maria Àngels Ramón-Llin i Martínez;Consellera de Agricultura, Pesca y Alimentación
IV Legislatura;Cuarto gobierno (PP+UV) de 16.03.1998 a 14.01.1999;José Ramón García Antón;Conseller de Obras Públicas, Urbanismo y Transportes
IV Legislatura;Cuarto gobierno (PP+UV) de 16.03.1998 a 14.01.1999;José Manuel Castellá Almiñana;Conseller de Medio Ambiente
IV Legislatura;Cuarto gobierno (PP+UV) de 16.03.1998 a 14.01.1999;Francisco Enrique Camps Ortiz;Conseller de Cultura, Educación y Ciencia
IV Legislatura;Cuarto gobierno (PP+UV) de 16.03.1998 a 14.01.1999;Marcela Miró Pérez;Consellera de Bienestar Social
IV Legislatura;Cuarto gobierno (PP+UV) de 16.03.1998 a 14.01.1999;Joaquín Farnós Gauchía;Conseller de Sanidad
IV Legislatura;Tercer gobierno (PP+UV) de 24.02.1997 a 15.03.1998;Eduardo Zaplana Hernández-Soro (PP-CV);Presidente
IV Legislatura;Tercer gobierno (PP+UV) de 24.02.1997 a 15.03.1998;José Joaquín Ripoll Serrano;Conseller de Presidencia
IV Legislatura;Tercer gobierno (PP+UV) de 24.02.1997 a 15.03.1998;Diego Such Pérez;Conseller de Empleo, Industria y Comercio
IV Legislatura;Tercer gobierno (PP+UV) de 24.02.1997 a 15.03.1998;José Luis Olivas Martínez;Conseller de Economía, Hacienda y Administración Pública
IV Legislatura;Tercer gobierno (PP+UV) de 24.02.1997 a 15.03.1998;Maria Àngels Ramón-Llin i Martínez;Consellera de Agricultura, Pesca y Alimentación
IV Legislatura;Tercer gobierno (PP+UV) de 24.02.1997 a 15.03.1998;Luis Fernando Cartagena Travesedo;Conseller de Obras Públicas, Urbanismo y Transportes
IV Legislatura;Tercer gobierno (PP+UV) de 24.02.1997 a 15.03.1998;José Manuel Castellá Almiñana;Conseller de Medio Ambiente
IV Legislatura;Tercer gobierno (PP+UV) de 24.02.1997 a 15.03.1998;Francisco Enrique Camps Ortiz;Conseller de Cultura, Educación y Ciencia
IV Legislatura;Tercer gobierno (PP+UV) de 24.02.1997 a 15.03.1998;Marcela Miró Pérez;Consellera de Bienestar Social
IV Legislatura;Tercer gobierno (PP+UV) de 24.02.1997 a 15.03.1998;Joaquín Farnós Gauchía;Conseller de Sanidad
IV Legislatura;Segundo gobierno (PP+UV) de 07.05.1996 a 24.02.1997;Eduardo Zaplana Hernández-Soro;Presidente
IV Legislatura;Segundo gobierno (PP+UV) de 07.05.1996 a 24.02.1997;José Luis Olivas Martínez;Conseller de Economía y Hacienda
IV Legislatura;Segundo gobierno (PP+UV) de 07.05.1996 a 24.02.1997;Joaquín Farnós Gauchía;Conseller de Sanidad y Consumo
IV Legislatura;Segundo gobierno (PP+UV) de 07.05.1996 a 24.02.1997;José Joaquín Ripoll Serrano;Conseller de Administración Pública
IV Legislatura;Segundo gobierno (PP+UV) de 07.05.1996 a 24.02.1997;José Sanmartín Esplugues;Conseller de Trabajo y Asuntos Sociales
IV Legislatura;Segundo gobierno (PP+UV) de 07.05.1996 a 24.02.1997;Diego Such Pérez;Conseller de Industria y Comercio
IV Legislatura;Segundo gobierno (PP+UV) de 07.05.1996 a 24.02.1997;Luis Fernando Cartagena Travesedo;Conseller de Obras Públicas, Urbanismo y Transportes
IV Legislatura;Segundo gobierno (PP+UV) de 07.05.1996 a 24.02.1997;Maria Àngels Ramón-Llin i Martínez;Consellera de Agricultura y Medio Ambiente
IV Legislatura;Segundo gobierno (PP+UV) de 07.05.1996 a 24.02.1997;Marcela Miró Pérez;Conseller de Cultura, Educación y Ciencia
IV Legislatura;Primer gobierno (PP+UV) de 06.07.1995 a 06.05.1996;Eduardo Zaplana Hernández-Soro;Presidente
IV Legislatura;Primer gobierno (PP+UV) de 06.07.1995 a 06.05.1996;José Luis Olivas Martínez;Conseller de Economía y Hacienda
IV Legislatura;Primer gobierno (PP+UV) de 06.07.1995 a 06.05.1996;Joaquín Farnós Gauchía;Conseller de Sanidad y Consumo
IV Legislatura;Primer gobierno (PP+UV) de 06.07.1995 a 06.05.1996;José Joaquín Ripoll Serrano;Conseller de Administración Pública
IV Legislatura;Primer gobierno (PP+UV) de 06.07.1995 a 06.05.1996;José Sanmartín Esplugues;Conseller de Trabajo y Asuntos Sociales
IV Legislatura;Primer gobierno (PP+UV) de 06.07.1995 a 06.05.1996;Diego Such Pérez;Conseller de Industria y Comercio
IV Legislatura;Primer gobierno (PP+UV) de 06.07.1995 a 06.05.1996;Luis Fernando Cartagena Travesedo;Conseller de Obras Públicas, Urbanismo y Transportes
IV Legislatura;Primer gobierno (PP+UV) de 06.07.1995 a 06.05.1996;Maria Àngels Ramón-Llin i Martínez;Consellera de Agricultura y Medio Ambiente
IV Legislatura;Primer gobierno (PP+UV) de 06.07.1995 a 06.05.1996;Fernando Villalonga Campos;Conseller de Cultura, Educación y Ciencia
V Legislatura;Tercer gobierno (PP) de 25.07.2002 a 21.06.2003;José Luis Olivas Martínez;Presidente
V Legislatura;Tercer gobierno (PP) de 25.07.2002 a 21.06.2003;José Joaquín Ripoll Serrano;Vicepresidente
V Legislatura;Tercer gobierno (PP) de 25.07.2002 a 21.06.2003;Maria Àngels Ramón-Llin i Martínez;Consellera de Agricultura, Pesca y Alimentación
V Legislatura;Tercer gobierno (PP) de 25.07.2002 a 21.06.2003;Vicente Rambla Momplet;Conseller de Economía, Hacienda y Empleo
V Legislatura;Tercer gobierno (PP) de 25.07.2002 a 21.06.2003;Fernando Modrego Caballero;Conseller de Medio Ambiente
V Legislatura;Tercer gobierno (PP) de 25.07.2002 a 21.06.2003;José Ramón García Antón;Conseller de Obras Públicas, Urbanismo y Transportes
V Legislatura;Tercer gobierno (PP) de 25.07.2002 a 21.06.2003;Carlos González Cepeda;Conseller de Justicia y Administraciones Públicas
V Legislatura;Tercer gobierno (PP) de 25.07.2002 a 21.06.2003;Manuel Tarancón Fandos;Conseller de Cultura y Educación
V Legislatura;Tercer gobierno (PP) de 25.07.2002 a 21.06.2003;Rafael Blasco Castany;Conseller de Bienestar Social
V Legislatura;Tercer gobierno (PP) de 25.07.2002 a 21.06.2003;Serafín Castellano Gómez;Conseller de Sanidad
V Legislatura;Tercer gobierno (PP) de 25.07.2002 a 21.06.2003;Alicia de Miguel García;Consellera Portavoz del Gobierno
V Legislatura;Tercer gobierno (PP) de 25.07.2002 a 21.06.2003;Fernando Vicente Castelló Boronat;Conseller de Industria, Comercio y Energia
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;Eduardo Zaplana Hernández-Soro;Presidente
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;José Luis Olivas Martínez;Vicepresidente 1º
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;Fernando Vicente Castelló Boronat;Conseller de Industria y Comercio de 22/05/2001 a 30/10/2001
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;José Joaquín Ripoll Serrano;Vicepresidente 2º
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;Maria Àngels Ramón-Llin i Martínez;Consellera de Agricultura, Pesca y Alimentación
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;Vicente Rambla Momplet;Conseller de Economía, Hacienda y Empleo
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;Fernando Modrego Caballero;Conseller de Medio Ambiente
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;José Ramón García Antón;Conseller de Obras Públicas, Urbanismo y Transportes
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;Carlos González Cepeda;Conseller de Justicia y Administraciones Públicas
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;Manuel Tarancón Fandos;Conseller de Cultura y Educación
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;Rafael Blasco Castany;Conseller de Bienestar Social
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;Serafín Castellano Gómez;Conseller de Sanidad
V Legislatura;Segundo gobierno (PP) de 22.5.2000 a 25.7.2002;Alicia de Miguel García;Consellera Portavoz del Gobierno
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;Eduardo Zaplana Hernández-Soro;Presidente
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;José Luis Olivas Martínez;Vicepresidente primero
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;Fernando Vicente Castelló Boronat;Conseller de Industria y Comercio
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;José Joaquín Ripoll Serrano;Vicepresidente segundo
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;Maria Àngels Ramón-Llin i Martínez;Consellera de Agricultura, Pesca y Alimentación
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;Vicente Rambla Momplet;Conseller de Economía y Hacienda
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;Fernando Modrego Caballero;Conseller de Medio Ambiente
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;José Ramón García Antón;Conseller de Obras Públicas, Urbanismo y Transportes
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;Serafín Castellano Gómez;Conseller de Justicia y Administraciones Públicas
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;Manuel Tarancón Fandos;Conseller de Cultura, Educación y Ciencia
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;Rafael Blasco Castany;Conseller de Empleo
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;José Emilio Cervera Cardona;Conseller de Sanidad
V Legislatura;Primer gobierno (PP) de 23.07.1999 a 22.05.2000;María Carmen Mas Rubio;Consellera de Bienestar Social hasta 17/05/2000
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;Francisco Enrique Camps Ortiz;Presidente
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;Víctor Campos Guinot;Vicepresidente
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;Juan Gabriel Cotino Ferrer;Conseller de Agricultura, Pesca y Alimentación
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;Gerardo Camps Devesa;Conseller de Economía, Hacienda y Empleo
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;Esteban González Pons;Conseller de Territorio y Vivienda
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;Miguel Peralta Viñes;Conseller de Justicia y Administraciones Públicas
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;Alicia de Miguel García;Consellera de Bienestar Social
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;José Ramón García Antón;Conseller de Infraestructuras y Transporte
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;María Milagrosa Martínez Navarro;Consellera de Turismo
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;Alejandro Font de Mora Turón;Conseller de Cultura, Educación y Deporte
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;Vicente Rambla Momplet;Conseller de Relaciones Institucionales y Comunicación y Portavoz del Consell de la Generalitat (sin cartera)
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;Rafael Blasco Castany;Conseller de Sanidad
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;Gema Amor Pérez;Consellera de Cooperación y Participación (sin cartera)
VI Legislatura;Tercer gobierno (PP) de 30.05.2006 a 29.06.2007;Justo Nieto Nieto;Conseller de Empresa, Universidad y Ciencia
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;Francisco Enrique Camps Ortiz;Presidente
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;Víctor Campos Guinot;Vicepresidente
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;Juan Gabriel Cotino Ferrer;Conseller de Agricultura, Pesca y Alimentación
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;Gerardo Camps Devesa;Conseller de Economía, Hacienda y Empleo
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;Rafael Blasco Castany;Conseller de Territorio y Vivienda
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;Miguel Peralta Viñes;Conseller de Justicia y Administraciones Públicas
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;Alicia de Miguel García;Consellera de Bienestar Social
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;José Ramón García Antón;Conseller de Infraestructuras y Transporte
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;María Milagrosa Martínez Navarro;Consellera de Turismo
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;Alejandro Font de Mora Turón;Conseller de Cultura, Educación y Deporte
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;Esteban González Pons;Conseller de Relaciones Institucionales y Comunicación y Portavoz del Consell de la Generalitat (sin cartera)
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;Vicente Rambla Momplet;Conseller de Sanidad
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;Gema Amor Pérez;Consellera de Cooperación y Participación (sin cartera)
VI Legislatura;Segundo gobierno (PP) de 27.08.2004 a 30.05.2006;Justo Nieto Nieto;Conseller de Empresa, Universidad y Ciencia
VI Legislatura;Primer gobierno (PP) de 21.06.2003 a 27.08.2004;Francisco Enrique Camps Ortiz;Presidente
VI Legislatura;Primer gobierno (PP) de 21.06.2003 a 27.08.2004;Alejandro Font de Mora Turón;Conseller de Presidencia
VI Legislatura;Primer gobierno (PP) de 21.06.2003 a 27.08.2004;Vicente Rambla Momplet;Conseller de Sanidad
VI Legislatura;Primer gobierno (PP) de 21.06.2003 a 27.08.2004;Gerardo Camps Devesa;Conseller de Economía, Hacienda y Empleo
VI Legislatura;Primer gobierno (PP) de 21.06.2003 a 27.08.2004;Miguel Peralta Viñes;Conseller de Industria, Comercio y Turismo
VI Legislatura;Primer gobierno (PP) de 21.06.2003 a 27.08.2004;Víctor Campos Guinot;Conseller de Justicia y Administraciones Públicas
VI Legislatura;Primer gobierno (PP) de 21.06.2003 a 27.08.2004;Gema Amor Pérez;Consellera de Agricultura, Pesca y Alimentación
VI Legislatura;Primer gobierno (PP) de 21.06.2003 a 27.08.2004;José Ramón García Antón;Conseller de Infraestructuras y Transporte
VI Legislatura;Primer gobierno (PP) de 21.06.2003 a 27.08.2004;Rafael Blasco Castany;Conseller de Territorio y Vivienda
VI Legislatura;Primer gobierno (PP) de 21.06.2003 a 27.08.2004;Esteban González Pons;Conseller de Cultura, Educación y Deporte
VI Legislatura;Primer gobierno (PP) de 21.06.2003 a 27.08.2004;Alicia de Miguel García;Consellera de Bienestar Social
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Francisco Enrique Camps Ortiz;Presidente
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Vicente Rambla Momplet;Conseller de Industria, Comercio e Innovación y Vicepresidente 1º
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Manuel Cervera Taulet;Conseller de Sanidad
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Gerardo Camps Devesa;Conseller de Economía, Hacienda y Empleo y Vicepresidente 2º
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Belén Juste Picón;Consellera de Turismo
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Juan Gabriel Cotino Ferrer;Conseller de Medio Ambiente, Agua, Urbanismo y Vivienda y Vicepresidente 3º
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Maritina Hernández Miñana;Consellera de Agricultura, Pesca y Alimentación
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Mario Flores Lanuza;Conseller de Infraestructuras y Transporte
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Paula Sánchez de León;Consellera de Justicia y Administraciones Públicas
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Serafín Castellano Gómez;Conseller de Gobernación
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Alejandro Font de Mora Turón;Conseller de Educación
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Angélica Such Ronda;Consellera de Bienestar Social
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Trinidad María Miró Mira;Consellera de Cultura y Deporte
VII Legislatura;Tercer gobierno (PP) de 31.08.2009 a 22.06.2011;Rafael Blasco Castany;Conseller de Inmigración y Ciudadanía
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Francisco Enrique Camps Ortiz;Presidente
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Vicente Rambla Momplet;Conseller de Presidencia y Vicepresidente 1º
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Belén Juste Picón;Consellera de Industria, Comercio e Innovación
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Gerardo Camps Devesa;Conseller de Economía, Hacienda y Empleo y Vicepresidente 2º
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Maritina Hernández Miñana;Consellera de Agricultura, Pesca y Alimentación
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Juan Gabriel Cotino Ferrer;Conseller de Bienestar Social y Vicepresidente 3º
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;José Ramón García Antón;Conseller de Medio Ambiente, Agua, Urbanismo y Vivienda
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Paula Sánchez de León;Consellera de Justicia y Administraciones Públicas
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Mario Flores Lanuza;Conseller de Infraestructuras y Transporte
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Serafín Castellano Gómez;Conseller de Gobernación
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Alejandro Font de Mora Turón;Conseller de Educación
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Angélica Such Ronda;Consellera de Turismo
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Trinidad María Miró Mira;Consellera de Cultura y Deporte
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Rafael Blasco Castany;Conseller de Inmigración y Ciudadanía
VII Legislatura;Segundo gobierno (PP) de 19.09.2008 a 31.08.2009;Manuel Cervera Taulet;Conseller de Sanidad
VII Legislatura;Primer gobierno (PP) de 29.06.2007 a 19.09.2008;Francisco Enrique Camps Ortiz;Presidente
